player_id,player_name,position,career_faceoff_pct,season_faceoff_pct,games_played,handedness
,Vladimir Tarasenko,RW,,0.0,80.0,
,Mikael Backlund,C,,48.4,76.0,
,J.T. Compher,LW,,45.1,76.0,
,Luke Evangelista,RW,,0.0,68.0,
,Justin Faulk,D,,,78.0,
,Mathieu Olivier,F,,38.9,82.0,
,Eric Robinson,LW,,21.2,82.0,
,Evan Rodrigues,C,,45.0,82.0,
,Yegor Sharangovich,C,,46.1,73.0,
,Jared Spurgeon,D,,,66.0,
,Trevor Zegras,C,,36.6,57.0,
,Rasmus Andersson,D,,,81.0,
,Simon Edvinsson,D,,,78.0,
,Gustav Forsling,D,,,80.0,
,Alex Iafallo,C,,48.0,82.0,
,Mike Matheson,D,,,80.0,
,Ryan McDonagh,D,,,82.0,
,Ryan Poehling,C,,50.9,68.0,
,Nicolas Roy,C,,47.7,71.0,
,Mackie Samoskevich,RW,,0.0,72.0,
,Scott Laughton,C,,50.8,80.0,
,Scott Laughton,C,,49.6,60.0,
,Scott Laughton,C,,54.7,20.0,
,Yanni Gourde,C,,49.6,57.0,
,Yanni Gourde,C,,50.8,36.0,
,Yanni Gourde,C,,46.9,21.0,
,Connor Brown,RW,,36.4,82.0,
,Vladislav Gavrikov,D,,,82.0,
,Keegan Kolesar,RW,,33.3,82.0,
,Chris Kreider,LW,,39.7,68.0,
,Kris Letang,D,,,74.0,
,Corey Perry,RW,,51.5,81.0,
,Rasmus Sandin,D,,,82.0,
,Travis Sanheim,D,,,82.0,
,Alex Vlasic,D,,,82.0,
,Brandon Saad,LW,,28.0,72.0,
,Brandon Saad,LW,,33.3,43.0,
,Brandon Saad,LW,,25.0,29.0,
,Joel Armia,RW,,21.4,81.0,
,Philip Broberg,D,,,68.0,
,Brent Burns,D,,,82.0,
,Ross Colton,C,,40.2,61.0,
,Oliver Ekman-Larsson,D,,,77.0,
,Joel Eriksson Ek,C,,47.1,46.0,
,Brock Faber,D,,,78.0,
,Marcus Foligno,LW,,36.8,77.0,
,William Karlsson,C,,58.1,53.0,
,Michael Kesselring,D,,,82.0,
,Victor Olofsson,RW,,14.3,56.0,
,Jeff Skinner,LW,,51.2,72.0,
,Danton Heinen,C,,39.1,79.0,
